ID,salary_min,salary_max,letter
76429,2187,,B
67309,3408,,B
122352,,,B
8174,,,B
7342,,,B
7344,,,B
13794,2410,,B
77128,,,B
59179,,,B
122541,,,B
94301,,,B
8628,,,B
9532,,,B
9478,,,B
8227,2825,3128,B
77301,,,B
15577,2825,3128,B
3980,,,B
13747,,,B
3993,,,B
59022,,,B
4833,,,B
4834,,,B
3998,,,B
3987,,,B
964,4137,4653,B
129325,,,B
9066,,,B
59013,,,B
6025,3342,,B
6139,4011,4503,B
569,,,B
15034,3504,3960,B
29214,4604,5819,B
14337,5980,7186,B
14513,3397,4286,B
14520,3130,3432,B
7466,3800,4163,B
13725,2699,,B
14471,4604,5819,B
5969,3523,3848,B
5812,,,B
58550,4078,4594,B
5462,3800,4163,B
5369,3800,4163,B
9612,3800,4163,B
14848,4604,5819,B
15709,,,B
5546,3800,4163,B
4456,,,B
9731,2962,3674,B
27401,2962,3674,B
27261,2962,3674,B
59031,2910,3236,B
14892,3800,4163,B
58558,3800,4163,B
411,2699,,B
9737,2962,3674,B
6556,2962,3674,B
6744,3258,,B
10004,3130,3432,B
7551,3800,4163,B
28494,3866,4299,B
28221,3258,,B
6540,3544,4254,B
15472,3214,3934,B
58963,3130,3432,B
58968,3350,3780,B
58970,3800,4367,B
34998,3544,4254,B
7887,3800,4163,B
6536,3544,4254,B
58980,3032,3490,B
35295,3125,4476,B
58556,3499,,B
6542,3544,4254,B
58965,3800,4163,B
9732,3800,4163,B
7685,3800,4163,B
58976,3800,4163,B
9029,3214,3934,B
9735,3800,4163,B
10002,2703,3439,B
7472,3800,4163,B
7648,3125,4476,B
59183,4604,5581,B
59185,7671,,B
59187,4509,5073,B
59189,5636,6302,B
59191,3928,6444,B
59195,4452,5116,B
100730,5334,,B
59197,,,B
59199,4380,5280,B
59201,4604,5581,B
59203,4604,5581,B
59207,4604,5581,B
59209,4604,5581,B
59213,4604,5581,B
59215,4604,5581,B
59217,2859,5871,B
59219,4604,5581,B
59223,3397,4286,B
59226,3928,5013,B
100732,5581,,B
59488,4466,5727,B
59227,4407,5314,B
100734,4604,5581,B
6003,3342,3745,B
93996,,,B
93952,,,B
9091,3782,4897,B
27457,3800,4163,B
93926,,,B
93927,,,B
7696,3544,4254,B
15036,,,B
94182,,,B
93744,,,B
59229,,,B
8428,,,B
106039,3939,,B
27786,3939,,B
9153,3782,5798,B
9787,4560,6179,B
93963,,,B
100537,,,B
9678,2859,5871,B
132512,3283,4596,B
7285,2122,2558,B
131061,,,B
93849,,,B
94316,,,B
58688,3782,5798,B
94025,,,B
93683,,,B
58689,4757,5647,B
9924,2124,2704,B
59235,3782,5798,B
94165,,,B
94125,,,B
6322,3204,3781,B
2710,2889,2921,B
6315,3204,3781,B
94312,,,B
93702,,,B
67148,4757,5647,B
130354,,,B
94053,,,B
13898,2859,4476,B
58487,2859,4476,B
58483,2859,4476,B
13894,2859,4476,B
93349,2859,4476,B
94129,,,B
94086,,,B
93787,,,B
9749,4560,6179,B
93732,,,B
94370,,,B
90110,4757,5647,B
131692,,,B
125525,,,B
94402,,,B
93866,,,B
59538,3782,5798,B
93939,,,B
93957,,,B
93810,,,B
93601,,,B
100539,3928,6444,B
