letter,ID
B,6755
B,6749
B,10077
B,10049
B,10080
B,15023
B,27726
B,7675
B,4836
B,93754
B,93633
B,27729
B,8602
B,2727
B,4823
B,4360
B,7409
B,93676
B,94026
B,7673
B,2172
B,8193
B,2215
B,5626
B,2309
B,4824
B,590
B,94113
B,94096
B,10234
B,5112
B,6819
B,852
B,93978
B,13727
B,15528
B,4480
B,4304
B,27304
B,13741
B,4016
B,134553
B,14100
B,13915
B,7635
B,35301
B,8346
B,15868
B,13987
B,7626
B,7654
B,7937
B,15746
B,5145
B,8328
B,6813
B,6814
B,6815
B,8163
B,89249
B,7928
B,133771
B,129447
B,129445
B,15368
B,8177
B,13916
B,8176
B,704
B,129287
B,34981
B,8188
B,8189
B,8187
B,50900
B,15785
B,134532
B,7942
B,7627
B,8271
B,13920
B,13977
B,130193
B,7624
B,77208
B,13892
B,7650
B,7658
B,7941
B,34988
B,35303
B,14953
B,14954
B,15447
B,15449
B,35305
B,120029
B,35307
B,7629
B,5228
B,5224
B,7935
B,8165
B,5855
B,5856
B,15698
B,7651
B,7943
B,2153
B,2154
B,4308
B,5924
B,27273
B,129450
B,134898
B,129451
B,9155
B,29233
B,27386
B,535
B,756
B,757
B,8626
B,76437
B,76429
B,67309
B,122352
B,8174
B,7342
B,7344
B,13794
B,77128
B,59179
B,122541
B,94301
B,8628
B,9532
B,9478
B,8227
B,77301
B,15577
B,3980
B,13747
B,3993
B,59022
B,4833
B,4834
B,3998
B,3987
B,964
B,129325
B,9066
B,59013
B,6025
B,6139
B,569
B,15034
B,29214
B,14337
B,14513
B,14520
B,7466
B,13725
B,14471
B,5969
B,5812
B,58550
B,5462
B,5369
B,9612
B,14848
B,15709
B,5546
B,4456
B,9731
B,27401
B,27261
B,59031
B,14892
B,58558
B,411
B,9737
B,6556
B,6744
B,10004
B,7551
B,28494
B,28221
B,6540
B,15472
B,58963
B,58968
B,58970
B,34998
B,7887
B,6536
B,58980
B,35295
B,58556
B,6542
B,58965
B,9732
B,7685
B,58976
B,9029
B,9735
B,10002
B,7472
B,7648
B,59183
B,59185
B,59187
B,59189
B,59191
B,59195
B,100730
B,59197
B,59199
B,59201
B,59203
B,59207
B,59209
B,59213
B,59215
B,59217
B,59219
B,59223
B,59226
B,100732
B,59488
B,59227
B,100734
B,6003
B,93996
B,93952
B,9091
B,27457
B,93926
B,93927
B,7696
B,15036
B,94182
B,93744
B,59229
B,8428
B,106039
B,27786
B,9153
B,9787
B,93963
B,100537
B,9678
B,132512
B,7285
B,131061
B,93849
B,94316
B,58688
B,94025
B,93683
B,58689
B,9924
B,59235
B,94165
B,94125
B,6322
B,2710
B,6315
B,94312
B,93702
B,67148
B,130354
B,94053
B,13898
B,58487
B,58483
B,13894
B,93349
B,94129
B,94086
B,93787
B,9749
B,93732
B,94370
B,90110
B,131692
B,125525
B,94402
B,93866
B,59538
B,93939
B,93957
B,93810
B,93601
B,100539
B,1730
B,2768
B,132513
B,8745
B,15144
B,6967
B,6785
B,4539
B,4540
B,2674
B,2676
B,1871
B,4199
B,4776
B,4552
B,90474
B,90469
B,7267
B,7186
B,9548
B,115578
B,15038
B,4316
B,5891
B,3790
B,3789
B,93615
B,94367
B,3813
B,2077
B,4790
B,4201
B,4202
B,90590
B,15040
B,1293
B,1419
B,13749
B,59239
B,7693
B,93630
B,94161
B,94124
B,93613
B,59241
B,2443
B,2444
B,10073
B,10197
B,93770
B,94337
B,8544
B,8499
B,58692
B,8502
B,14080
B,8510
B,8409
B,8405
B,4500
B,15046
B,130315
B,1556
B,7169
B,15350
B,133472
B,15007
C,58454
C,14022
C,14025
C,14688
C,29399
C,14964
C,27267
C,14464
C,7467
C,134894
C,7327
C,10034
C,28019
C,7328
C,90188
C,94225
C,93947
C,94396
C,94185
C,13809
C,1169
C,1143
C,58694
C,5793
C,94166
C,93682
C,130952
C,134613
C,134512
C,10042
C,117083
C,2436
C,2437
C,59252
C,93637
C,8398
C,14962
C,133473
C,27289
C,1872
C,1795
C,1935
C,1832
C,1891
C,7333
C,125536
C,94244
C,15127
C,14586
C,89949
C,27272
C,58695
C,93640
C,93872
C,94078
C,93768
C,59496
C,100522
C,93721
C,93851
C,14398
C,51002
C,134900
C,15461
C,134373
C,14345
C,132575
D,4302
D,129406
D,4051
D,4038
D,9914
D,129987
D,14993
D,27353
D,8261
D,129986
D,129988
D,7279
D,5848
D,10032
D,10041
D,9761
D,94395
D,5090
D,8355
D,123685
D,15837
D,15836
D,100525
